Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","220uF@80V","CP_Radial_D10.0mm_P5.00mm",130.4000,-175.7000,90.0000,top
"C2","4.7uF@50V","C_1206_3216Metric",111.3000,-185.2000,90.0000,top
"C3","4.7uF@50V","C_1206_3216Metric",133.3000,-162.2000,0.0000,top
"C6","4.7uF@50V","C_1206_3216Metric",133.3000,-155.7000,0.0000,top
"C7","100nF@50V","C_0603_1608Metric",130.1000,-155.7000,90.0000,top
"C12","100nF@50V","C_0603_1608Metric",58.0250,-183.4325,270.0000,top
"C13","100nF@100V","C_0805_2012Metric",93.1000,-153.9000,0.0000,top
"C16","100nF@100V","C_0805_2012Metric",90.4000,-162.5000,0.0000,top
"C38","4.7uF@50V","C_1206_3216Metric",116.3000,-185.2000,90.0000,top
"C39","4.7uF@50V","C_1206_3216Metric",123.1000,-182.8000,270.0000,top
"C40","4.7uF@50V","C_1206_3216Metric",113.8000,-185.2000,90.0000,top
"C41","4.7uF@50V","C_1206_3216Metric",125.6000,-182.8000,270.0000,top
"C42","220uF@80V","CP_Radial_D10.0mm_P5.00mm",102.2000,-188.2000,90.0000,top
"C43","4.7uF@50V","C_1206_3216Metric",81.0000,-168.5000,90.0000,top
"C44","4.7uF@50V","C_1206_3216Metric",81.0000,-174.0000,270.0000,top
"C45","4.7uF@50V","C_1206_3216Metric",78.5000,-168.5000,90.0000,top
"C46","4.7uF@50V","C_1206_3216Metric",78.5000,-174.0000,270.0000,top
"C47","220uF@80V","CP_Radial_D10.0mm_P5.00mm",74.2500,-171.0000,180.0000,top
"C50","220uF@80V","CP_Radial_D10.0mm_P5.00mm",87.0000,-176.8823,270.0000,top
"C55","4.7uF@50V","C_1206_3216Metric",99.5000,-166.0000,90.0000,top
"C56","4.7uF@50V","C_1206_3216Metric",97.0000,-166.0000,90.0000,top
"C58","4.7uF@50V","C_1206_3216Metric",92.0000,-166.0000,90.0000,top
"C59","4.7uF@50V","C_1206_3216Metric",94.5000,-166.0000,90.0000,top
"C62","100nF@100V","C_0805_2012Metric",94.2000,-148.2000,90.0000,top
"C77","100nF@100V","C_0805_2012Metric",93.1000,-151.9000,0.0000,top
"C78","4.7uF","C_0805_2012Metric",94.4000,-160.1000,270.0000,top
"C79","100nF@100V","C_0805_2012Metric",85.6000,-150.6000,90.0000,top
"C80","1uF@50V","C_0805_2012Metric",87.6000,-150.6000,90.0000,top
"C81","100nF@100V","C_0805_2012Metric",89.5000,-166.5000,90.0000,top
"C82","100nF@100V","C_0805_2012Metric",83.5000,-166.5000,270.0000,top
"C83","470nF/25V","C_0603_1608Metric",86.5000,-164.5000,180.0000,top
"C84","4.7uF","C_0805_2012Metric",93.7000,-157.4000,0.0000,top
"C85","470nF/25V","C_0603_1608Metric",90.5000,-150.4000,90.0000,top
"C111","22pF/50V","C_0603_1608Metric",137.4000,-155.7000,90.0000,top
"D2","VS-2EFH02HM3/I","D_SMF",98.1000,-162.3000,0.0000,top
"D3","SS54","D_SMA",68.5000,-158.0000,90.0000,top
"D5","LED GREEN","LED_0805_2012Metric",119.9000,-155.0000,0.0000,top
"D6","LED GREEN","LED_0805_2012Metric",119.9000,-157.0000,0.0000,top
"D23","PDZ3.3B,115","D_SOD-323",139.8000,-166.0000,0.0000,top
"D26","VS-2EFH02HM3/I","D_SMF",97.8500,-154.0000,0.0000,top
"D29","LED GREEN","LED_0805_2012Metric",119.9000,-153.0000,0.0000,top
"D39","LED GREEN","LED_0805_2012Metric",119.9000,-151.0000,0.0000,top
"F1","Fuse","Fuseholder5x20_horiz_open_inline_C3130",62.0000,-173.9750,90.0000,top
"F2","Fuse","Fuseholder5x20_horiz_open_inline_C3130",105.3750,-195.3000,180.0000,top
"J2","Conn_02x04_Odd_Even","PinHeader_2x04_P2.54mm_Vertical",68.2244,-187.5028,180.0000,top
"J3","Screw_Terminal_01x03","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",50.1000,-170.2150,270.0000,top
"J4","Conn_02x05_Odd_Even","PinHeader_2x05_P2.54mm_Vertical",114.2700,-159.6250,0.0000,top
"J9","Conn_01x02","AMASS_XT30U-M_1x02_P5.0mm_Vertical_mod",48.1000,-163.3940,0.0000,top
"J10","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",111.8550,-194.7050,0.0000,top
"J17","Conn_01x02","AMASS_XT30U-M_1x02_P5.0mm_Vertical_mod",123.4000,-196.7000,90.0000,top
"J19","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",47.8750,-154.4500,270.0000,top
"J27","Conn_01x05","JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",141.0750,-161.9000,270.0000,top
"J56","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",90.4117,-139.8950,180.0000,top
"J57","Conn_01x02","AMASS_XT30U-F_1x02_P5.0mm_Vertical_mod",78.8667,-137.9050,270.0000,top
"J58","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",132.3450,-139.8950,180.0000,top
"J59","Conn_01x02","AMASS_XT30U-F_1x02_P5.0mm_Vertical_mod",120.8000,-137.9050,270.0000,top
"J60","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",69.4450,-139.8950,180.0000,top
"J61","Conn_01x02","AMASS_XT30U-F_1x02_P5.0mm_Vertical_mod",57.9000,-137.9050,270.0000,top
"J62","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",111.3783,-139.8950,180.0000,top
"J63","Conn_01x02","AMASS_XT30U-F_1x02_P5.0mm_Vertical_mod",99.8333,-137.9050,270.0000,top
"L4","10uH","L_Sunlord_MWSA1004S",108.5000,-174.5000,180.0000,top
"Q6","BSC0702LS","TDSON-8-1",119.5000,-177.5000,270.0000,top
"Q7","BSC0702LS","TDSON-8-1",119.6000,-171.5000,90.0000,top
"Q8","BSC0702LS","TDSON-8-1",97.1000,-171.5000,90.0000,top
"Q9","BSC0702LS","TDSON-8-1",97.0000,-177.5000,270.0000,top
"R1","10R","R_0603_1608Metric",96.8000,-149.7000,180.0000,top
"R2","47kR","R_0603_1608Metric",104.1000,-165.9300,90.0000,top
"R3","10R","R_0603_1608Metric",96.8000,-151.2000,180.0000,top
"R4","25k 0.1%","R_0603_1608Metric",106.6500,-165.9300,270.0000,top
"R5","10k","R_0402_1005Metric",53.1900,-158.2000,180.0000,top
"R6","10k","R_0402_1005Metric",117.5000,-151.0000,90.0000,top
"R21","100k","R_0402_1005Metric",63.9000,-195.8000,90.0000,top
"R23","16.2k 1%","R_0603_1608Metric",70.0300,-181.5225,90.0000,top
"R30","5m","R_2512_6332Metric",130.4000,-182.6000,90.0000,top
"R33","249kR 0.1%","R_0603_1608Metric",58.0300,-186.6975,270.0000,top
"R34","10k","R_0402_1005Metric",117.5000,-155.0000,90.0000,top
"R35","10k","R_0402_1005Metric",117.5000,-157.0000,90.0000,top
"R36","16.2k 1%","R_0603_1608Metric",109.2000,-165.9300,270.0000,top
"R54","200k 0.1%","R_0402_1005Metric",139.2000,-167.6000,180.0000,top
"R55","13k 0.1%","R_0402_1005Metric",141.2000,-167.6000,180.0000,top
"R66","0R","R_0805_2012Metric",99.9000,-159.9000,0.0000,top
"R67","5m","R_2512_6332Metric",86.5000,-171.5000,0.0000,top
"R68","10R","R_0603_1608Metric",87.5000,-167.0000,90.0000,top
"R69","10R","R_0603_1608Metric",85.5000,-167.0000,90.0000,top
"R72","5k1/1%","R_0603_1608Metric",78.7750,-158.0000,0.0000,top
"R73","30k/1%","R_0603_1608Metric",78.7750,-159.5000,180.0000,top
"R74","133k","R_0603_1608Metric",82.7750,-152.9000,0.0000,top
"R75","10k","R_0402_1005Metric",63.9000,-193.8000,90.0000,top
"R76","10k","R_0402_1005Metric",117.5000,-153.0000,90.0000,top
"R80","220kR 0.1%","R_0603_1608Metric",73.0300,-181.5225,90.0000,top
"R81","12.1k 1%","R_0603_1608Metric",111.7500,-165.9300,270.0000,top
"R86","15k 0.1%","R_0603_1608Metric",74.5300,-181.5225,90.0000,top
"R87","20k 0.1%","R_0603_1608Metric",67.0300,-181.5225,90.0000,top
"R89","10k","R_0603_1608Metric",114.2500,-165.9300,270.0000,top
"R93","12.1k 1%","R_0603_1608Metric",77.5300,-181.5225,90.0000,top
"U1","ME6203A50M3G","SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR",133.3000,-159.0000,270.0000,top
"U2","Jumper Black","SNT-100-BK-H",60.3000,-194.8000,0.0000,top
"U3","Jumper Black","SNT-100-BK-H",53.7000,-151.9000,90.0000,top
"U14","Fuse Holder","Dummy",62.0000,-156.5000,270.0000,top
"U15","Fuse Holder","Dummy",87.9000,-195.3000,0.0000,top
"U16","Fuse Holder","Dummy",62.0000,-171.5000,270.0000,top
"U17","Fuse Holder","Dummy",102.9000,-195.3000,0.0000,top
"U27","BQ25756RRVR","BQ25756RRVR",86.6000,-157.7000,270.0000,top
"U72","Jumper Red","SNT-100-RD-G",68.2000,-186.3000,90.0000,top
"U73","Jumper Blue","SNT-100-BL-H",104.0900,-160.8750,90.0000,top
"U74","Fuse 2A","Dummy",95.4000,-195.3000,0.0000,top
"U75","Fuse 2A","Dummy",62.0000,-164.0000,0.0000,top
